"Physical Supply Table for Water Resources"

"Year","Inputs","Agriculture, Forestry and Fishing","Mining and Quarrying, Manufacturing, and Construction","Electricity and Steam","Water Supply","Other Industries","Households","Accumulation","Flows from the environment"
"2020","..Ground water",.,.,.,.,.,.,.,5017
"2020","..For distribution",.,.,.,2488,.,2488,.,.
"2020","..For own-use",67851,10558,131181,1052,4562,215205,.,.
"2020","..To inland water resources",18559,9689,131106,890,4889,165132,.,.
"2020","..To other sources",0,0,0,0,0,0,.,.
"2020","..Non-revenue water",0,0,0,890,0,890,.,.
"2020","..Evaporation of abstracted water",0,0,0,3,556,559,.,.
"2020","..Transpiration",49425,0,96,0,0,49521,.,.
"2020","..Water incorporated to products",0,1321,0,0,0,1321,.,.
"2021","..Surface water",.,.,.,.,.,.,.,216222
"2021","..Ground water",.,.,.,.,.,.,.,5118
"2021","..For distribution",.,.,.,2519,.,2519,.,.
"2021","..For own-use",67848,11890,132415,1152,4526,217831,.,.
"2021","..To inland water resources",17355,10873,132339,990,4894,166451,.,.
"2021","..To other sources",0,0,0,0,0,0,.,.
"2021","..Non-revenue water",0,0,0,990,0,990,.,.
"2021","..Evaporation of abstracted water",0,0,0,3,558,560,.,.
"2021","..Transpiration",50630,0,96,0,0,50726,.,.
"2021","..Water incorporated to products",0,1483,0,0,0,1483,.,.
"2022","..Surface water",.,.,.,.,.,.,.,220798
"2022","..Ground water",.,.,.,.,.,.,.,5232
"2022","..For distribution",.,.,.,2693,.,2693,.,.
"2022","..For own-use",67937,13526,135069,1262,4518,222312,.,.
"2022","..To inland water resources",17351,12348,134993,1025,4939,170656,.,.
"2022","..To other sources",0,0,0,0,0,0,.,.
"2022","..Non-revenue water",0,0,0,1025,0,1025,.,.
"2022","..Evaporation of abstracted water",0,0,0,3,563,566,.,.
"2022","..Transpiration",50728,0,101,0,0,50828,.,.
"2022","..Water incorporated to products",0,1684,0,0,0,1684,.,.
"2023","..Surface water",.,.,.,.,.,.,.,221066
"2023","..Ground water",.,.,.,.,.,.,.,5263
"2023","..For distribution",.,.,.,2907,.,2907,.,.
"2023","..For own-use",67965,13553,135200,1288,4074,222080,.,.
"2023","..To inland water resources",16712,12331,135124,1342,4656,170165,.,.
"2023","..To other sources",0,0,0,0,0,0,.,.
"2023","..Non-revenue water",0,0,0,1342,0,1342,.,.
"2023","..Evaporation of abstracted water",0,0,0,3,531,534,.,.
"2023","..Transpiration",51398,0,100,0,0,51498,.,.
"2023","..Water incorporated to products",0,1681,0,0,0,1681,.,.
